Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
89.0,7.70079,548.2160163485663,7.7001,-0.03540871829061132
90.0,7.69744,548.2709778145025,7.69744,-0.03807231670503963
91.0,7.69617,548.3259392804388,7.69617,-0.03934595301683341
92.0,7.6943,548.380900746375,7.69617,-0.03934962849153756
93.0,7.69729,548.4358622123112,7.69729,-0.03823334313279414
94.0,7.69755,548.4908236782475,7.69755,-0.037977095831396745
95.0,7.69893,548.5457851441837,7.69779,-0.037740886332700896
96.0,7.69779,548.6007466101198,7.69779,-0.03774471440196869
97.0,7.69572,548.655708076056,7.69572,-0.039818580042994434
98.0,7.69531,548.7106695419923,7.69572,-0.03982248531645549
99.0,7.69638,548.7656310079285,7.6954,-0.040146430226220886
100.0,7.6954,548.8205924738647,7.6954,-0.040150415094132974
101.0,7.69164,548.875553939801,7.69441,-0.04114443992413985
102.0,7.69441,548.9305154057372,7.69441,-0.04114850570377371
103.0,7.69614,548.9854768716734,7.69614,-0.03942261243706202
104.0,7.69973,549.0404383376097,7.69973,-0.035836758409294234
105.0,7.7001,549.0953998035459,7.7001,-0.03547094005702611
106.0,7.70073,549.1503612694821,7.70046,-0.035115157016652354
107.0,7.70046,549.2053227354182,7.70046,-0.03511940893452792
108.0,7.69835,549.2602842013545,7.69888,-0.036703695814868986
109.0,7.69888,549.3152456672907,7.69888,-0.03670801923228595
110.0,7.69926,549.3702071332269,7.69926,-0.036332379191064135
111.0,7.70074,549.4251685991632,7.69926,-0.0363367753178645
112.0,7.69811,549.4801300650994,7.69811,-0.03749120761704372
113.0,7.6977,549.5350915310356,7.69811,-0.0374956772358761
114.0,7.69883,549.5900529969718,7.69883,-0.03678018417878981
115.0,7.70219,549.6450144629081,7.6992,-0.03641472773472465
116.0,7.6992,549.6999759288443,7.6992,-0.03641930754046552
117.0,7.69856,549.7549373947805,7.6992,-0.03642392360055169
118.0,7.70033,549.8098988607167,7.70033,-0.03529857591955832
119.0,7.70368,549.8648603266529,7.70368,-0.03195326337898852
120.0,7.70489,549.9198217925891,7.70368,-0.03195798265326033
121.0,7.70071,549.9747832585253,7.70071,-0.03493273374705641
122.0,7.6965,550.0297447244616,7.6965,-0.039147519617603876
123.0,7.69606,550.0847061903978,7.6965,-0.039152344453523114
124.0,7.69977,550.139667656334,7.69977,-0.03588720825959335
125.0,7.70062,550.1946291222703,7.69977,-0.035892107791068995
126.0,7.69949,550.2495905882065,7.69949,-0.03617704305280611
127.0,7.69875,550.3045520541427,7.69893,-0.03674201432798352
128.0,7.69893,550.359513520079,7.69875,-0.03692702217808108
129.0,7.69745,550.4144749860152,7.69893,-0.03675206678694831
130.0,7.69904,550.4694364519513,7.69745,-0.038237147980699326
131.0,7.69723,550.5243979178875,7.69723,-0.03846226723512025
132.0,7.69461,550.5793593838238,7.69461,-0.04108742477389171
133.0,7.69372,550.63432084976,7.69461,-0.04109262320521978
134.0,7.69467,550.6892823156962,7.69372,-0.04198786253425091
135.0,7.69356,550.7442437816325,7.69369,-0.042023143650292916
136.0,7.69369,550.7992052475687,7.69369,-0.042028466588375224
137.0,7.69566,550.8541667135049,7.69566,-0.040063831353769785
138.0,7.69783,550.9091281794412,7.69783,-0.037899235994725444
139.0,7.70058,550.9640896453774,7.70058,-0.03515467836044994
140.0,7.70146,551.0190511113136,7.70146,-0.034280155723297234
141.0,7.70211,551.0740125772497,7.70207,-0.03367566721398152
142.0,7.70207,551.128974043186,7.70207,-0.03368121223159193
143.0,7.70196,551.1839355091222,7.70196,-0.03379679078162656
144.0,7.7004,551.2388969750584,7.7004,-0.03536240297896498
