Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
116.0,0.00505382,549.7166899299173,0.00505382,0.002650811499283791
117.0,0.00404061,549.7716858161255,0.00404061,0.0016376059332834903
118.0,0.00424507,549.8266817023338,0.00424507,0.0018420703672831894
119.0,0.0035584,549.8816775885421,0.0035584,0.0011554048012828886
120.0,0.00487067,549.9366734747503,0.00487067,0.0024676792352825876
121.0,0.00350345,549.9916693609586,0.00350345,0.0011004636692822875
122.0,0.00351259,550.0466652471669,0.00351259,0.0011096081032819865
123.0,0.00279235,550.101661133375,0.00279235,0.00038937253728168596
124.0,0.00422974,550.1566570195833,0.00422974,0.001826767358121106
125.0,0.00415038,550.2116529057915,0.00415038,0.0017474121789605264
126.0,0.003363,550.2666487919998,0.003363,0.000960036999799946
127.0,0.00203851,550.3216446782081,0.00203851,-0.0003644472193415696
128.0,0.00329584,550.3766405644163,0.00329584,0.0008928882025397251
129.0,0.00213919,550.4316364506246,0.00213919,-0.00026375548339109805
130.0,0.000720093,550.4866323368328,0.000720093,-0.0016828464294170958
131.0,0.0,550.5416282230411,0.0,-0.0024029350082959383
132.0,0.000613255,550.5966241092494,0.000613255,-0.0017896778996560232
133.0,0.00105881,550.6516199954576,0.00105881,-0.0013441225254119161
134.0,0.0,550.7066158816659,0.0,-0.002402933460406352
135.0,0.0,550.7616117678742,0.0,-0.002402936707879436
136.0,0.00177289,550.8166076540824,0.00177289,-0.000630052267833775
137.0,0.00238019,550.8716035402907,0.00238019,-2.2758446506122333e-05
138.0,0.00441573,550.9265994264989,0.00441573,0.0020127753523171855
139.0,0.00326824,550.9815953127072,0.00326824,0.0008652791511404938
140.0,0.00521222,551.0365911989155,0.00521222,0.0028092538142904574
141.0,0.00508098,551.0915870851237,0.00508098,0.0026780084774404205
142.0,0.00493143,551.146582971332,0.00493143,0.002528453140590384
143.0,0.00433631,551.2015788575402,0.00433631,0.001933327803740348
144.0,0.00393346,551.2565747437485,0.00393346,0.0015304724668903113
145.0,0.00403416,551.3115706299568,0.00403416,0.0016311671300402756
146.0,0.00587744,551.366566516165,0.00587744,0.0034744417931902396
147.0,0.00388765,551.4215624023733,0.00388765,0.001484646456340203
148.0,0.00361602,551.4765582885816,0.00361602,0.0012130111194901673
149.0,0.00502594,551.5315541747898,0.00502594,0.0026229257826401306
150.0,0.00491606,551.5865500609981,0.00491606,0.0025130404457900947
151.0,0.00361598,551.6415459472063,0.00361598,0.0012129551089400587
152.0,0.00370447,551.6965418334146,0.00370447,0.0013014397720900227
153.0,0.00301475,551.7515377196229,0.00301475,0.0006117144352399866
154.0,0.00155902,551.8065336058311,0.00155902,-0.0008440202923350186
155.0,0.00131487,551.8615294920394,0.00131487,-0.0010881758467239737
156.0,0.00233416,551.9165253782477,0.00233416,-6.889246414091632e-05
157.0,0.00351519,551.9715212644559,0.00351519,0.0011121308503549625
158.0,0.00317643,552.0265171506642,0.00317643,0.0007733641648508412
159.0,0.00439408,552.0815130368724,0.00439408,0.0019910082510472982
160.0,0.00293225,552.1365089230807,0.00293225,0.0005291723372437556
161.0,0.00351819,552.191504809289,0.00351819,0.0011151069500056321
162.0,0.00258432,552.2465006954972,0.00258432,0.00018123156276750926
163.0,0.00458019,552.3014965817055,0.00458019,0.0021770963551539083
164.0,0.00326485,552.3564924679137,0.00326485,0.0008617511475403085
165.0,0.00204411,552.411488354122,0.00204411,-0.00035899319930988516
166.0,0.00252933,552.4664842403303,0.00252933,0.00012622210021554598
167.0,0.00338993,552.5214801265384,0.00338993,0.0009868175247652504
168.0,0.00435428,552.5764760127468,0.00435428,0.001951162949314955
169.0,0.00375307,552.631471898955,0.00375307,0.0013499483738646594
170.0,0.00268797,552.6864677851632,0.00268797,0.00028484379841436447
171.0,0.00364012,552.7414636713715,0.00364012,0.0012369895056152836
172.0,0.0032983,552.7964595575797,0.0032983,0.0008951652128162029
173.0,0.00444882,552.851455443788,0.00444882,0.002045681814495274
174.0,0.00369806,552.9064513299963,0.00369806,0.001294918416174345
175.0,0.00324333,552.9614472162045,0.00324333,0.000840185017853416
176.0,0.00432671,553.0164431024128,0.00432671,0.001923562458545794
177.0,0.00302052,553.0714389886211,0.00302052,0.0006173698992381718
178.0,0.00176316,553.1264348748293,0.00176316,-0.0006399920451253557
179.0,0.00205612,553.1814307610376,0.00205612,-0.00034703461789072076
180.0,0.0022972,553.2364266472458,0.0022972,-0.00010595753254612813
181.0,0.00288313,553.2914225334541,0.00288313,0.000479969448124343
182.0,0.00223003,553.3464184196624,0.00223003,-0.0001731330938706979
183.0,0.00189737,553.4014143058706,0.00189737,-0.0005057958067706838
184.0,0.00127173,553.4564101920789,0.00127173,-0.0011314390170664352
185.0,0.00278847,553.5114060782871,0.00278847,0.0003852966678997596
186.0,0.00267859,553.5664019644954,0.00267859,0.00027541273563344527
187.0,0.00477821,553.6213978507037,0.00477821,0.002375029076629262
188.0,0.00488806,553.6763937369119,0.00488806,0.0024848754176250783
189.0,0.00532751,553.7313896231202,0.00532751,0.0029243217586208954
190.0,0.00502537,553.7863855093285,0.00502537,0.002622178099616713
191.0,0.00385651,553.8413813955367,0.00385651,0.0014533144406125298
192.0,0.00472931,553.896377281745,0.00472931,0.0023261107816083463
193.0,0.00273342,553.9513731679532,0.00273342,0.00033021712260416364
194.0,0.00277918,554.0063690541615,0.00277918,0.00037597379144256636
195.0,0.00195212,554.0613649403698,0.00195212,-0.00045108916625411725
196.0,0.00341087,554.116360826578,0.00341087,0.0010076574321765714
197.0,0.00422874,554.1713567127863,0.00422874,0.0018255240306072605
198.0,0.00245868,554.2263525989946,0.00245868,5.546062903794913e-05
199.0,0.00258989,554.2813484852028,0.00258989,0.00018666728235810278
200.0,0.00340166,554.3363443714111,0.00340166,0.000998434120699697
201.0,0.00393266,554.3913402576193,0.00393266,0.0015294309590412917
202.0,0.00399368,554.4463361438276,0.00399368,0.0015904477973828863
203.0,0.00445754,554.5013320300359,0.00445754,0.0020543046357244807
204.0,0.0023884,554.5563279162441,0.0023884,-1.4838525933924974e-05
205.0,0.00370066,554.6113238024524,0.00370066,0.001297418297733761
206.0,0.0038044,554.6663196886606,0.0038044,0.001401155121401447
207.0,0.00381049,554.7213155748689,0.00381049,0.0014072419450691332
208.0,0.00526924,554.7763114610772,0.00526924,0.0028659887687368184
209.0,0.00532721,554.8313073472854,0.00532721,0.0029239555924045046
210.0,0.00293763,554.8863032334937,0.00293763,0.000534372416072191
211.0,0.00327331,554.941299119702,0.00327331,0.0008700497715028901
212.0,0.00478699,554.9962950059102,0.00478699,0.0023837279960551047
213.0,0.00487853,555.0512908921185,0.00487853,0.00247526622060732
214.0,0.00503111,555.1062867783266,0.00503111,0.0026278444451595354
215.0,0.00467708,555.161282664535,0.00467708,0.0022738126697117505
216.0,0.0054919,555.2162785507433,0.0054919,0.0030886308942639656
217.0,0.00623347,555.2712744369514,0.00623347,0.0038301991188161803
218.0,0.00525688,555.3262703231597,0.00525688,0.002853607343368396
219.0,0.00297106,555.381266209368,0.00297106,0.000567785567920611
220.0,0.00204635,555.4362620955762,0.00204635,-0.0003569256423007687
221.0,0.00501879,555.4912579817845,0.00501879,0.0026155127958883027
222.0,0.00413375,555.5462538679927,0.00413375,0.0017304712340773737
223.0,0.00340741,555.601249754201,0.00340741,0.0010041296722664446
224.0,0.00258035,555.6562456404093,0.00258035,0.00017706811045551567
225.0,0.00287636,555.7112415266175,0.00287636,0.00047307672413061204
226.0,0.0026383,555.7662374128258,0.0026383,0.00023501580824068433
227.0,0.00199741,555.821233299034,0.00199741,-0.0004058748745794983
228.0,0.00176546,555.8762291852423,0.00176546,-0.0006378259569824402
229.0,0.0017044,555.9312250714506,0.0017044,-0.0006988876656643375
230.0,0.00150602,555.9862209576588,0.00150602,-0.0008972700601034731
231.0,0.00137478,556.0412168438671,0.00137478,-0.0010285133329652027
232.0,0.00339811,556.0962127300754,0.00339811,0.000994812388770357
233.0,0.00258631,556.1512086162836,0.00258631,0.00018300811050591574
234.0,0.00419765,556.2062045024919,0.00419765,0.0017943440136259964
235.0,0.00249167,556.2612003887001,0.00249167,8.835991674607758e-05
236.0,0.00325766,556.3161962749084,0.00325766,0.000854345907347617
237.0,0.00384969,556.3711921611167,0.00384969,0.001446372751221889
238.0,0.00467061,556.4261880473249,0.00467061,0.0022672895950961616
239.0,0.00291276,556.4811839335332,0.00291276,0.0005094364389704332
240.0,0.00423417,556.5361798197415,0.00423417,0.0018308437896431798
241.0,0.0050673,556.5911757059497,0.0050673,0.002663971140315927
242.0,0.00621781,556.646171592158,0.00621781,0.0038144784909886734
243.0,0.00561049,556.7011674783662,0.00561049,0.0032071558416614204
244.0,0.00410288,556.7561633645745,0.00410288,0.0016995431923341672
245.0,0.00313849,556.8111592507828,0.00313849,0.0007351505430069141
246.0,0.00155764,556.866155136991,0.00155764,-0.0008457013730937559
247.0,0.00324527,556.9211510231993,0.00324527,0.0008419258823877569
248.0,0.00465519,556.9761469094075,0.00465519,0.0022518439786140382
249.0,0.00666326,557.0311427956158,0.00666326,0.004259912074840319
250.0,0.00555239,557.0861386818241,0.00555239,0.003149040171066601
251.0,0.00520446,557.1411345680323,0.00520446,0.0028011082672928828
252.0,0.00549132,557.1961304542406,0.00549132,0.003087966363519164
253.0,0.00423701,557.2511263404489,0.00423701,0.0018336544597454458
254.0,0.00208242,557.3061222266571,0.00208242,-0.0003209374440282728
255.0,0.00218006,557.3611181128654,0.00218006,-0.0002232996640661902
256.0,0.00327259,557.4161139990736,0.00327259,0.0008692278956027081
257.0,0.00330919,557.4711098852819,0.00330919,0.0009058263235465608
258.0,0.002592,557.5261057714902,0.002592,0.00018863565670093185
259.0,0.00400802,557.5811016576984,0.00400802,0.0016046551768271692
260.0,0.00472213,557.6360975439067,0.00472213,0.0023187646969534056
261.0,0.00525618,557.691093430115,0.00525618,0.002852814217079643
262.0,0.00369669,557.7460893163232,0.00369669,0.0012933237372058795
263.0,0.00442605,557.8010852025315,0.00442605,0.0020226832573321165
264.0,0.00374548,557.8560810887396,0.00374548,0.0013421127774583537
265.0,0.00254,557.911076974948,0.00254,0.00013663229758459133
266.0,0.00219208,557.9660728611562,0.00219208,-0.00021128804694277
267.0,0.00309845,558.0210687473644,0.00309845,0.0006950814000592099
268.0,0.0060129,558.0760646335727,0.0060129,0.0036095315399991106
269.0,0.00624787,558.1310605197809,0.00624787,0.0038445016799390115
270.0,0.0038644,558.1860564059892,0.0038644,0.0014610318198789128
271.0,0.00285423,558.2410522921975,0.00285423,0.00045086195981881416
272.0,0.0,558.2960481784057,0.0,-0.0024033674520206926
273.0,0.00121538,558.351044064614,0.00121538,-0.0011879891766295007
274.0,0.00121841,558.4060399508223,0.00121841,-0.001184962060399029
275.0,0.00233841,558.4610358370305,0.00233841,-6.496610041487874e-05
276.0,0.00208204,558.5160317232388,0.00208204,-0.00032134020463728047
277.0,0.0023872,558.571027609447,0.0023872,-1.6184625515627826e-05
278.0,0.00336376,558.6260234956553,0.00336376,0.0009603709376017396
279.0,0.00242684,558.6810193818636,0.00242684,2.344746102337465e-05
280.0,0.00389779,558.7360152680718,0.00389779,0.0014943940076416556
281.0,0.00438606,558.7910111542801,0.00438606,0.0019826605542599364
282.0,0.00410222,558.8460070404884,0.00410222,0.0016988171008782177
283.0,0.00410526,558.9010029266966,0.00410526,0.0017018536474964988
284.0,0.0026953,558.9559988129049,0.0026953,0.0002918901941147793
285.0,0.00372374,559.0109946991131,0.00372374,0.0013203270303853982
286.0,0.00302181,559.0659905853214,0.00302181,0.0006183938666560166
287.0,0.0025335,559.1209864715297,0.0025335,0.00013008131886778481
288.0,0.00102895,559.1759823577379,0.00102895,-0.0013744711000746375
289.0,4.62467e-05,559.2309782439462,4.62467e-05,-0.00235717815727328
290.0,0.00155687,559.2859741301544,0.00155687,-0.0008465608839648903
291.0,0.00428822,559.3409700163627,0.00428822,0.0018847822601119413
292.0,0.00428515,559.395965902571,0.00428515,0.0018817054041887732
293.0,0.00476121,559.4509617887792,0.00476121,0.0023577585482656054
294.0,0.00390058,559.5059576749875,0.00390058,0.001497121692342437
295.0,0.00414776,559.5609535611958,0.00414776,0.0017442948364192693
296.0,0.00326882,559.615949447404,0.00326882,0.0008653479804961008
297.0,0.00447732,559.6709453336123,0.00447732,0.002073841988913958
298.0,0.00442542,559.7259412198205,0.00442542,0.0020219359973318155
299.0,0.00567664,559.7809371060288,0.00567664,0.0032731500057496727
300.0,0.00423617,559.8359329922371,0.00423617,0.0018326740141675298
301.0,0.00298491,559.8909288784453,0.00298491,0.000581408022585387
