Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
172.0,0.787702,555.1250218592188,0.787702,-0.004223985507174621
173.0,0.788632,555.1799266568129,0.787702,-0.0042248507467631535
174.0,0.786463,555.2348314544068,0.786463,-0.005464720190080263
175.0,0.78528,555.2897362520008,0.786463,-0.005465595067701168
176.0,0.788875,555.3446410495949,0.78528,-0.006649475380490877
177.0,0.783373,555.3995458471888,0.783373,-0.008557362302144766
178.0,0.782379,555.4544506447829,0.783373,-0.008558257721450802
179.0,0.785417,555.5093554423769,0.785417,-0.006515161639290112
180.0,0.787795,555.5642602399708,0.787795,-0.004138072032888629
181.0,0.793164,555.6191650375649,0.787795,-0.004138986544019008
182.0,0.787557,555.6740698351589,0.787557,-0.004377905173587493
183.0,0.787003,555.7289746327529,0.787557,-0.004378828158846382
184.0,0.788509,555.7838794303469,0.788509,-0.0034277555007098393
185.0,0.794998,555.8387842279409,0.788509,-0.0034286862544187224
186.0,0.788118,555.893689025535,0.788268,-0.0036706204208960536
187.0,0.788268,555.9485938231289,0.788268,-0.003671558240544992
188.0,0.792504,556.0034986207229,0.792278,0.0003375002857045617
189.0,0.792278,556.058403418317,0.792285,0.0003435591484677314
190.0,0.792285,556.1133082159109,0.792285,0.00034261835378668337
191.0,0.792841,556.168213013505,0.792841,0.0008976779007230373
192.0,0.795373,556.223117811099,0.795032,0.00308773834294207
193.0,0.795032,556.2780226086929,0.795032,0.003086801867754896
194.0,0.790923,556.332927406287,0.79308,0.0011338684742235872
195.0,0.79308,556.387832203881,0.791293,-0.0006540637883440947
196.0,0.791293,556.4427370014749,0.79308,0.0011320032972353955
197.0,0.795516,556.497641799069,0.791982,3.307151191578317e-05
198.0,0.791982,556.552546596663,0.791982,3.2139759566396364e-05
199.0,0.785478,556.607451394257,0.786559,-0.0053917919607416875
200.0,0.786559,556.662356191851,0.785601,-0.006350729042934433
201.0,0.785601,556.717260989445,0.785946,-0.006006672437847582
202.0,0.785946,556.7721657870391,0.785601,-0.006352621804422864
203.0,0.785591,556.827070584633,0.785946,-0.006008577485586808
204.0,0.78644,556.8819753822271,0.78644,-0.005515539140294123
205.0,0.789188,556.9368801798211,0.789188,-0.0027685062796184434
206.0,0.790259,556.991784977415,0.789188,-0.0027694761753980224
207.0,0.785705,557.0466897750091,0.785705,-0.006253448828595687
208.0,0.785013,557.1015945726031,0.785416,-0.006543427698066262
209.0,0.785416,557.156499370197,0.785015,-0.006945413071195117
210.0,0.785015,557.2114041677911,0.785416,-0.006545405346247257
211.0,0.786961,557.2663089653851,0.786961,-0.005001404126909081
212.0,0.790809,557.3212137629791,0.787612,-0.004351407882086655
213.0,0.787612,557.3761185605731,0.788427,-0.003537415966566204
214.0,0.788427,557.4310233581671,0.787612,-0.004353427571803348
215.0,0.78658,557.4859281557611,0.788427,-0.0035394435083422326
216.0,0.788518,557.5408329533551,0.788476,-0.003491462967648906
